"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: columns","Param: period","Param: rows"
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-store-misses","thrpt",1,1,3.227865,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:LLC-stores","thrpt",1,1,3.950411,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:branch-misses","thrpt",1,1,0.003570,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:branches","thrpt",1,1,22.012232,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:cycles","thrpt",1,1,340.502522,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-load-misses","thrpt",1,1,2.789117,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-loads","thrpt",1,1,55.207578,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-store-misses","thrpt",1,1,1.885258,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:dTLB-stores","thrpt",1,1,13.084319,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:iTLB-load-misses","thrpt",1,1,0.000332,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:iTLB-loads","thrpt",1,1,0.000109,NaN,"#/op",100,65536,100
"com.openkappa.runtime.gc.RandomGraph.permute:instructions","thrpt",1,1,135.886843,NaN,"#/op",100,65536,100
