"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000283,0.000446,"B/op",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,203.000000,NaN,"counts",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,54.000000,NaN,"ms",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,53.687751,7.680342,"ns/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,3405.524530,466.965248,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,288.000024,0.000005,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,3407.247212,518.326010,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,288.115898,7.557945,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004822,0.008089,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000407,0.000674,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,385.000000,NaN,"counts",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,96.000000,NaN,"ms",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,328.753597,62.646267,"ns/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,4030.943164,757.749734,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,2088.000144,0.000039,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,4039.346594,764.723188,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,2092.324960,13.860809,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004925,0.006501,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002547,0.003169,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,456.000000,NaN,"counts",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,145.000000,NaN,"ms",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,62.958213,1.832734,"ns/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1609.804076,43.448895,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,160.000028,0.000004,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1609.671028,93.144883,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,159.994123,10.498439,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004527,0.007948,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000449,0.000783,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,182.000000,NaN,"counts",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,50.000000,NaN,"ms",UTF-8,4
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,75.760063,3.000610,"ns/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,1870.941117,60.236058,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,224.000033,0.000004,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,1866.999023,77.348110,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,223.532366,8.294706,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.004600,0.007486,"MB/sec",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000551,0.000906,"B/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,211.000000,NaN,"counts",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,56.000000,NaN,"ms",UTF-8,20
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,227.269922,18.536450,"ns/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,2610.467854,220.764621,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,936.000100,0.000014,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,2605.042006,231.607230,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,934.038132,9.140520,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.010897,0.007899,"MB/sec",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.003906,0.002792,"B/op",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,294.000000,NaN,"counts",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,80.000000,NaN,"ms",UTF-8,200
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString","avgt",1,5,2138.703149,203.825640,"ns/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate","avgt",1,5,2403.138404,262.255764,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.alloc.rate.norm","avgt",1,5,8136.000937,0.000113,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space","avgt",1,5,2410.459171,233.271472,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Eden_Space.norm","avgt",1,5,8161.541644,228.655882,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space","avgt",1,5,0.097369,0.019259,"MB/sec",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.churn.Survivor_Space.norm","avgt",1,5,0.329534,0.038980,"B/op",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.count","avgt",1,5,273.000000,NaN,"counts",UTF-8,2000
"com.openkappa.runtime.ascii.AsciiBytes.bytesFromString:·gc.time","avgt",1,5,90.000000,NaN,"ms",UTF-8,2000
