"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,25.000000,NaN,"ms",ISO-8859-1,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,34.039056,9.113723,"ns/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4483.050982,1100.782240,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,240.000014,0.000003,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,4491.939771,1095.967963,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,240.482695,3.127422,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004535,0.009567,"MB/sec",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000251,0.000616,"B/op",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,507.000000,NaN,"counts",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,43.000000,NaN,"ms",ISO-8859-1,200
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,286.030526,74.343619,"ns/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,4531.131236,1076.019437,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,2040.000118,0.000029,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,4542.248943,1124.416522,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,2044.750573,46.278791,"B/op",ISO-8859-1,2000
