"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,1027.540386,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000494,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,5.339139,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.001752,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.003614,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,3575.403971,NaN,"#/op",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,210.533059,2.968580,"ops/us",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.244936,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.001227,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,23.387639,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.030072,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.002562,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000118,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.000329,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000076,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000032,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.000764,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,13.644692,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,16.493548,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000019,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,23.522123,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000011,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.051127,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000064,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000143,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,67.338072,NaN,"#/op",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,126.314567,1.109811,"ops/us",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.255718,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.002437,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,33.810798,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,5.037013,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.011367,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.000592,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.001044,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000067,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000150,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.001874,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,24.358690,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,27.360168,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000084,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,33.509047,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000021,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,5.017221,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000054,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000243,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,106.993631,NaN,"#/op",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,87.783402,0.594132,"ops/us",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.239019,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,0.011368,NaN,"#/op",8,1,32
