"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesEight:·gc.time","thrpt",1,5,41.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour","thrpt",1,5,43.001577,1.262225,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.alloc.rate","thrpt",1,5,878.182235,11.761865,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.alloc.rate.norm","thrpt",1,5,32.141837,0.711472,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Eden_Space","thrpt",1,5,871.445632,93.587641,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Eden_Space.norm","thrpt",1,5,31.897855,3.886501,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Survivor_Space","thrpt",1,5,0.058843,0.341278,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.churn.Survivor_Space.norm","thrpt",1,5,0.002173,0.012662,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.count","thrpt",1,5,98.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesFour:·gc.time","thrpt",1,5,34.000000,NaN,"ms"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen","thrpt",1,5,14.532990,0.795569,"ops/us"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.alloc.rate","thrpt",1,5,746.806834,24.090489,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.alloc.rate.norm","thrpt",1,5,80.887981,3.846865,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Eden_Space","thrpt",1,5,746.960339,76.697849,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Eden_Space.norm","thrpt",1,5,80.887577,5.229906,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Survivor_Space","thrpt",1,5,0.093590,0.205661,"MB/sec"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.churn.Survivor_Space.norm","thrpt",1,5,0.010165,0.022432,"B/op"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.count","thrpt",1,5,84.000000,NaN,"counts"
"com.openkappa.runtime.enumit.EnumIterationBenchmark.valuesSixteen:·gc.time","thrpt",1,5,47.000000,NaN,"ms"
