"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.711988,0.259621,"ops/us",12,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.556178,0.140323,"ops/us",12,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.490435,0.054151,"ops/us",12,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.634759,0.018494,"ops/us",12,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.073847,0.884772,"ops/us",13,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.455782,0.944605,"ops/us",13,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.565027,0.107424,"ops/us",13,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.498262,0.072781,"ops/us",13,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.362525,0.028490,"ops/us",13,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.314399,0.965823,"ops/us",14,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.528509,0.388808,"ops/us",14,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.613396,0.144045,"ops/us",14,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.316906,0.174226,"ops/us",14,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.262582,0.034729,"ops/us",14,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.343178,0.414992,"ops/us",15,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.228965,0.564460,"ops/us",15,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.502960,0.310112,"ops/us",15,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,24.713029,0.058180,"ops/us",15,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.238570,0.025262,"ops/us",15,1,1024
